timestamp,soil1,soil2,light,vandstand,pumpe
22-05-2026 14:17:58,99.3,99.6,55,Fyld vand,FRA
22-05-2026 14:17:59,99.6,100.0,53,Fyld vand,FRA
22-05-2026 14:18:00,99.0,99.6,55,Fyld vand,FRA
22-05-2026 14:18:01,98.9,100.0,11,Fyld vand,FRA
22-05-2026 14:18:02,95.6,96.3,15,Fyld vand,FRA
22-05-2026 14:18:03,95.5,97.1,15,Fyld vand,FRA
22-05-2026 14:18:04,95.1,96.3,17,Fyld vand,FRA
22-05-2026 14:18:05,95.5,96.1,16,Fyld vand,FRA
22-05-2026 14:18:06,95.4,96.6,17,Fyld vand,FRA
22-05-2026 14:18:07,95.6,97.1,16,Fyld vand,FRA
22-05-2026 14:18:08,95.9,96.4,18,Fyld vand,FRA
22-05-2026 14:18:09,95.9,96.7,16,Fyld vand,FRA
22-05-2026 14:18:10,95.3,96.7,16,Fyld vand,FRA
22-05-2026 14:18:11,95.9,96.5,20,Fyld vand,FRA
22-05-2026 14:18:12,96.0,97.2,17,Fyld vand,FRA
22-05-2026 14:18:14,98.0,99.5,14,Fyld vand,FRA
22-05-2026 14:18:15,97.4,98.9,15,Fyld vand,FRA
22-05-2026 14:18:16,97.3,99.2,15,Fyld vand,FRA
22-05-2026 14:18:17,97.6,98.8,13,Fyld vand,FRA
22-05-2026 14:18:18,80.8,84.0,28,Fyld vand,FRA
22-05-2026 14:18:19,98.9,99.1,12,Fyld vand,FRA
22-05-2026 14:18:20,97.9,98.7,13,Fyld vand,FRA
22-05-2026 14:18:21,97.6,99.1,14,Fyld vand,FRA
22-05-2026 14:18:22,81.1,83.7,28,Fyld vand,FRA
22-05-2026 14:18:23,80.3,83.9,26,Fyld vand,FRA
22-05-2026 14:18:24,80.1,82.5,28,Fyld vand,FRA
22-05-2026 14:18:25,80.5,83.8,27,Fyld vand,FRA
22-05-2026 14:18:26,80.5,84.3,27,Fyld vand,FRA
22-05-2026 14:18:27,98.8,99.7,12,Fyld vand,FRA
22-05-2026 14:18:28,97.8,98.9,14,Fyld vand,FRA
22-05-2026 14:18:29,97.9,98.6,11,Fyld vand,FRA
22-05-2026 14:18:30,97.9,98.3,13,Fyld vand,FRA
22-05-2026 14:18:31,97.7,98.9,14,Fyld vand,FRA
22-05-2026 14:18:32,97.7,99.1,15,Fyld vand,FRA
22-05-2026 14:18:33,97.8,99.3,14,Fyld vand,FRA
22-05-2026 14:18:34,97.3,99.0,15,Fyld vand,FRA
22-05-2026 14:18:35,97.6,99.0,14,Massere af vand,FRA
22-05-2026 14:18:36,97.9,98.8,16,Massere af vand,FRA
22-05-2026 14:18:37,97.6,98.5,17,Massere af vand,FRA
22-05-2026 14:18:38,97.6,99.0,16,Massere af vand,FRA
22-05-2026 14:18:39,97.6,99.1,14,Massere af vand,FRA
22-05-2026 14:18:40,97.9,98.6,18,Massere af vand,FRA
22-05-2026 14:18:41,98.0,99.3,16,Massere af vand,FRA
22-05-2026 14:18:42,97.9,99.7,16,Massere af vand,FRA
22-05-2026 14:18:43,98.4,99.3,15,Massere af vand,FRA
22-05-2026 14:18:44,97.7,98.7,17,Massere af vand,FRA
22-05-2026 14:18:45,98.0,98.6,17,Massere af vand,FRA
22-05-2026 14:18:46,98.3,99.4,18,Massere af vand,FRA
22-05-2026 14:18:47,98.4,98.9,18,Massere af vand,FRA
22-05-2026 14:18:48,98.1,99.4,15,Massere af vand,FRA
22-05-2026 14:18:49,98.1,99.1,19,Massere af vand,FRA
22-05-2026 14:18:50,98.5,98.9,18,Massere af vand,FRA
22-05-2026 14:18:51,97.8,99.4,17,Massere af vand,FRA
22-05-2026 14:18:52,97.7,99.3,18,Massere af vand,FRA
22-05-2026 14:18:53,97.8,98.9,17,Massere af vand,FRA
22-05-2026 14:18:54,98.3,99.6,19,Massere af vand,FRA
22-05-2026 14:18:55,97.3,99.1,12,Massere af vand,FRA
22-05-2026 14:18:56,97.7,98.5,19,Massere af vand,FRA
22-05-2026 14:18:57,97.7,98.7,16,Massere af vand,FRA
22-05-2026 14:18:58,98.3,99.3,17,Massere af vand,FRA
22-05-2026 14:18:59,97.8,98.9,16,Massere af vand,FRA
22-05-2026 14:19:00,97.5,98.9,18,Massere af vand,FRA
22-05-2026 14:19:01,98.3,99.0,17,Massere af vand,FRA
22-05-2026 14:19:02,97.9,99.1,16,Massere af vand,FRA
22-05-2026 14:19:03,98.4,99.0,18,Massere af vand,FRA
22-05-2026 14:19:04,97.9,99.3,20,Massere af vand,FRA
22-05-2026 14:19:05,98.5,99.3,14,Massere af vand,FRA
22-05-2026 14:19:06,97.7,99.1,15,Massere af vand,FRA
22-05-2026 14:19:07,98.3,98.6,17,Massere af vand,FRA
22-05-2026 14:19:08,97.9,98.8,16,Massere af vand,FRA
22-05-2026 14:19:09,98.1,98.5,16,Massere af vand,FRA
22-05-2026 14:19:10,97.9,99.5,17,Massere af vand,FRA
22-05-2026 14:19:11,97.6,98.7,15,Massere af vand,FRA
22-05-2026 14:19:12,97.6,99.6,15,Massere af vand,FRA
22-05-2026 14:19:13,97.3,98.7,16,Massere af vand,FRA
22-05-2026 14:19:14,98.2,98.9,18,Massere af vand,FRA
22-05-2026 14:19:15,98.1,98.9,17,Massere af vand,FRA
22-05-2026 14:19:16,97.5,99.0,16,Massere af vand,FRA
22-05-2026 14:19:17,97.7,98.7,17,Massere af vand,FRA
22-05-2026 14:19:18,97.5,98.9,17,Massere af vand,FRA
22-05-2026 14:19:19,98.2,98.5,16,Massere af vand,FRA
22-05-2026 14:19:20,98.1,98.9,16,Massere af vand,FRA
22-05-2026 14:19:21,97.9,98.3,15,Massere af vand,FRA
22-05-2026 14:19:22,97.8,99.2,17,Massere af vand,FRA
22-05-2026 14:19:23,98.1,98.9,17,Massere af vand,FRA
22-05-2026 14:19:24,97.6,98.9,16,Massere af vand,FRA
22-05-2026 14:19:25,98.1,98.9,16,Massere af vand,FRA
22-05-2026 14:19:26,98.3,99.3,16,Massere af vand,FRA
22-05-2026 14:19:27,98.1,99.0,18,Massere af vand,FRA
22-05-2026 14:19:28,98.1,99.1,16,Massere af vand,FRA
22-05-2026 14:19:29,98.1,98.8,16,Massere af vand,FRA
22-05-2026 14:19:30,97.7,99.3,15,Massere af vand,FRA
22-05-2026 14:19:31,97.3,98.9,15,Massere af vand,FRA
22-05-2026 14:19:33,98.3,98.9,18,Massere af vand,FRA
22-05-2026 14:19:34,97.7,99.3,16,Massere af vand,FRA
22-05-2026 14:19:35,97.9,98.8,15,Massere af vand,FRA
22-05-2026 14:19:36,97.3,99.1,17,Massere af vand,FRA
